TRIP_CODE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,COUNTS,SAMPVOL_L
NSI20090819,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,108,1.244232
MAI20090601,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,17,1.809792
PHB20090714,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,16,3.95892
PHB20090714,Noctiluca scintillans,NOCTILUCA,Noctilucaceae,Noctiluca,scintillans,109921,1,2.8278
PHB20090714,Ostracod,NON-COPEPOD,Ostracod,,,1078,6,3.95892
PHB20090623,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,1,2.8278
PHB20090623,Harpacticoid j,COPEPOD,Copepod,,,1102,5,2.8278
PHB20090623,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,1,2.8278
PHB20090623,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,41,3.95892
PHB20090623,Oncaea venusta complex m,COPEPOD,Copepod,Oncaea,venusta complex,128954,2,3.95892
PHB20090623,Bivalve,NON-COPEPOD,Mollusc,,,105,5,3.95892
PHB20090623,Polychaete,NON-COPEPOD,Polychaete,,,883,13,3.95892
PHB20090819,Acartia (Acartiura) tranteri m,COPEPOD,Copepod,Acartia (Acartiura),tranteri,346042,1,1.13112
PHB20090819,Farranula spp. f,COPEPOD,Copepod,Farranula,spp.,128636,1,1.13112
MAI20090421,Acartia (Acartia) danae f,COPEPOD,Copepod,Acartia (Acartia),danae,346026,3,91.394496
MAI20090421,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,342443,2,90.4896
MAI20090421,Calanoid j,COPEPOD,Copepod,,,1100,56,91.394496
MAI20090421,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,216,91.394496
MAI20090421,Subeucalanus subcrassus f,COPEPOD,Copepod,Subeucalanus,subcrassus,104548,1,90.4896
MAI20090421,Echinoderm larvae,NON-COPEPOD,Echinoderm,,,1806,4,90.4896
PHB20090623,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,104880,1,1.13112
PHB20090623,Echinoderm larvae,NON-COPEPOD,Echinoderm,,,1806,1,1.13112
PHB20090819,Oncaea venusta complex m,COPEPOD,Copepod,Oncaea,venusta complex,128954,6,2.26224
PHB20090422,Megalope,NON-COPEPOD,Decapod,,,1066,1,2.8278
PHB20090318,Acartia (Acartia) danae f,COPEPOD,Copepod,Acartia (Acartia),danae,346026,4,2.26224
PHB20090318,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,1,1.13112
PHB20090318,Decapod larvae,NON-COPEPOD,Decapod,,,1130,1,1.13112
PHB20090223,Calanoid j,COPEPOD,Copepod,,,1100,225,3.39336
PHB20090223,Ctenocalanus vanus f,COPEPOD,Copepod,Ctenocalanus,vanus,104510,3,3.39336
PHB20090223,Harpacticoid j,COPEPOD,Copepod,,,1102,1,1.13112
PHB20090223,Mesocalanus tenuicornis f,COPEPOD,Copepod,Mesocalanus,tenuicornis,104468,3,3.39336
PHB20090223,Oncaea venusta complex f,COPEPOD,Copepod,Oncaea,venusta complex,128954,3,3.39336
PHB20090223,Cavoliniidae shell,NON-COPEPOD,Mollusc,,,23000,6,3.39336
PHB20090223,Calanid CIV,COPEPOD,Copepod,,,104079,1,2.26224
PHB20090223,Oithona Grp2 (diamond) f,COPEPOD,Copepod,Oithona,grp 2,106485,1,2.26224
PHB20090223,Subeucalanus spp. j,COPEPOD,Copepod,Subeucalanus,spp.,104173,4,2.26224
PHB20090518,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,1,2.8278
PHB20090518,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,2,2.8278
PHB20090518,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,354022,3,2.8278
PHB20090518,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,104880,1,2.8278
MAI20090506,Ctenocalanus vanus f,COPEPOD,Copepod,Ctenocalanus,vanus,104510,3,0.904896
PHB20090714,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,2,1.13112
PHB20090714,Pseudevadne tergestina,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,1,1.13112
ESP20090512,Acartia (Acanthacartia) sinjiensis f,COPEPOD,Copepod,Acartia (Acanthacartia),sinjiensis,345940,5,0.509004
ESP20090512,Bestiolina similis f,COPEPOD,Copepod,Bestiolina,similis,346152,1,0.509004
PHB20090819,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,4,1.13112
PHB20090819,Fritillariidae,NON-COPEPOD,Appendicularian,,,103354,1,1.13112
PHB20090819,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,9,1.13112
PHB20090819,Podon spp.,NON-COPEPOD,Cladoceran,Podon,spp.,106269,7,1.13112
ESP20090512,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,23,0.509004
ESP20090512,Oithona Grp4 (round head) f,COPEPOD,Copepod,Oithona,grp 4,106485,13,0.509004
ESP20090512,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,6,0.509004
ESP20090512,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,3,0.509004
ESP20090512,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,1,0.509004
ESP20090512,Anomuran zoea,NON-COPEPOD,Decapod,,,106671,5,0.509004
ESP20090512,Bivalve,NON-COPEPOD,Mollusc,,,105,7,0.509004
ESP20090512,Cavoliniidae shell,NON-COPEPOD,Mollusc,,,23000,1,0.509004
MAI20090716,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,2,9.04896
MAI20090820,Calanoid j,COPEPOD,Copepod,,,1100,116,31.67136
MAI20090820,Mesocalanus tenuicornis f,COPEPOD,Copepod,Mesocalanus,tenuicornis,104468,1,4.52448
NSI20090916,Calanoid j,COPEPOD,Copepod,,,1100,136,63.455832
NSI20090916,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,106485,20,63.455832
NSI20090916,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,3,63.455832
NSI20090916,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,63,63.455832
ROT20181024,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,1,0.509004
ROT20181024,Globigerinidae,NON-COPEPOD,Foraminifera,,,111929,1,0.509004
DAR20180731_0630,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,1,0.2149128
DAR20180731_0630,Canthocalanus pauper f,COPEPOD,Copepod,Canthocalanus,pauper,220834,2,0.2149128
DAR20180731_0630,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,1,0.2149128
DAR20180731_0630,Euchaeta spp. j,COPEPOD,Copepod,Euchaeta,spp.,104174,1,0.2149128
MAI20090820,Decapod larvae,NON-COPEPOD,Decapod,,,1130,9,31.67136
MAI20090820,Fritillariidae,NON-COPEPOD,Appendicularian,,,103354,2,4.52448
MAI20090820,Candacia spp. j,COPEPOD,Copepod,Candacia,spp.,104157,3,27.14688
MAI20090820,Echinoderm larvae,NON-COPEPOD,Echinoderm,,,1806,7,9.04896
MAI20090820,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,2,18.09792
MAI20090907,Gastropod,NON-COPEPOD,Mollusc,,,101,1,13.57344
PHB20100316,Oncaea venusta complex f,COPEPOD,Copepod,Oncaea,venusta complex,128954,5,114.24312
NSI20091006,Bestiolina similis m,COPEPOD,Copepod,Bestiolina,similis,346152,2,0.622116
NSI20091006,Corycaeus spp.,COPEPOD,Copepod,Corycaeus,spp.,128634,10,1.244232
NSI20091006,Euchaeta spp. f,COPEPOD,Copepod,Euchaeta,spp.,104174,1,0.622116
NSI20091006,Subeucalanus crassus f,COPEPOD,Copepod,Subeucalanus,crassus,104544,1,0.622116
MAI20091013,Euphausiid calyptope,NON-COPEPOD,Euphausiid,,,110671,7,2.714688
MAI20091013,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,,,110671,7,2.714688
MAI20090421,Acartia (Odontacartia) pacifica f,COPEPOD,Copepod,Acartia (Odontacartia),pacifica,346059,1,0.904896
MAI20090506,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1,0.904896
DAR20180731_0630,Oithona simplex f,COPEPOD,Copepod,Oithona,simplex,106657,10,0.2149128
DAR20180731_0630,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,59,0.2149128
DAR20180731_0630,Echinopluteus,NON-COPEPOD,Echinoderm,,,1806,2,0.2149128
DAR20180731_0630,Fritillariidae,NON-COPEPOD,Appendicularian,,,103354,2,0.2149128
DAR20180731_0630,Gastropod,NON-COPEPOD,Mollusc,,,101,1,0.2149128
NSI20090916,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,2,1.244232
NSI20090916,Hyperiid amphipod,NON-COPEPOD,Amphipod,,,101796,1,0.622116
MAI20090907,Calanid CIV,COPEPOD,Copepod,,,104079,1,13.57344
MAI20090907,Barnacle nauplii,NON-COPEPOD,Cirripedia,,,1082,1,13.57344
MAI20091013,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,1,0.904896
MAI20091013,Clausocalanus parapergens f,COPEPOD,Copepod,Clausocalanus,parapergens,104507,1,0.904896
MAI20091207,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1,2.26224
MAI20091207,Corycaeidae j,COPEPOD,Copepod,,,128569,1,2.26224
MAI20091207,Anomuran zoea,NON-COPEPOD,Decapod,,,106671,2,4.52448
MAI20091207,Sapphirina angusta f,COPEPOD,Copepod,Sapphirina,angusta,129041,1,0.904896
MAI20091013,Podon spp.,NON-COPEPOD,Cladoceran,Podon,spp.,106269,1,0.904896
MAI20091207,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,34,5.429376
ESP20090623,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,9,0.509004
ESP20090623,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,0.509004
ESP20090623,Nauplii calanoid,COPEPOD,Copepod,,,1100,38,0.509004
ESP20090623,Oithona Grp4 (round head) f,COPEPOD,Copepod,Oithona,grp 4,106485,5,0.509004
ESP20090623,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,104683,6,0.509004
ESP20090623,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,28,0.509004
ESP20090623,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,2,0.509004
ESP20090623,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,1,0.509004
ESP20090623,Polychaete,NON-COPEPOD,Polychaete,,,883,1,0.509004
PHB20100119,Acrocalanus gracilis f,COPEPOD,Copepod,Acrocalanus,gracilis,220838,1,1.13112
PHB20100119,Onychocorycaeus agilis m,COPEPOD,Copepod,Onychocorycaeus,agilis,359743,1,1.13112
PHB20100119,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,363905,1,1.13112
PHB20100119,Oithona spp. large m,COPEPOD,Copepod,Oithona,spp.,106485,5,1.13112
PHB20100119,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,354022,3,1.13112
PHB20100119,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,15,1.13112
PHB20100119,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,1.13112
PHB20100119,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,104880,2,1.13112
PHB20100119,Fish egg,NON-COPEPOD,Fish,,,11676,2,1.13112
PHB20100119,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,81,1.13112
PHB20100119,Polychaete,NON-COPEPOD,Polychaete,,,883,7,1.13112
NSI20080929,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,2,0.622116
NSI20080929,Corycaeus spp. f,COPEPOD,Copepod,Corycaeus,spp.,128634,1,0.622116
PHB20181218,Corycaeus crassiusculus f,COPEPOD,Copepod,Corycaeus,crassiusculus,128799,1,0.56556
PHB20181218,Globigerinidae,NON-COPEPOD,Foraminifera,,,111929,4,0.56556
PHB20181218,Pseudevadne tergestina,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,2,1.018008
PHB20181218,Candacia bipinnata m,COPEPOD,Copepod,Candacia,bipinnata,104475,1,0.452448
PHB20181218,Corycaeidae j,COPEPOD,Copepod,,,128569,1,0.452448
NSI20081119,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,6,1.866348
NSI20081119,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,10,1.866348
NSI20081119,Corycaeidae j,COPEPOD,Copepod,,,128569,3,1.866348
NSI20081119,Harpacticoid j,COPEPOD,Copepod,,,1102,17,1.866348
NSI20081119,Microsetella rosea m,COPEPOD,Copepod,Microsetella,rosea,116116,1,0.622116
NSI20081119,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,34,1.866348
NSI20081119,Polychaete,NON-COPEPOD,Polychaete,,,883,11,1.866348
NSI20081119,Nauplii copepod,COPEPOD,Copepod,,,1080,25,1.866348
NSI20081119,Pleuromamma quadrungulata f,COPEPOD,Copepod,Pleuromamma,quadrungulata,104641,1,0.622116
NSI20081119,Copepod damaged / unidentified,COPEPOD,Copepod,,,1080,6,0.622116
NSI20081217,Nauplii calanoid,COPEPOD,Copepod,,,1100,56,1.244232
NSI20081217,Subeucalanus crassus f,COPEPOD,Copepod,Subeucalanus,crassus,104544,1,0.622116
NSI20081217,Gastropod,NON-COPEPOD,Mollusc,,,101,44,1.244232
NSI20081217,Decapod larvae,NON-COPEPOD,Decapod,,,1130,2,0.622116
NSI20081217,Sapphirina opalina m,COPEPOD,Copepod,Sapphirina,opalina,129054,1,0.622116
NSI20090114,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,5,1.244232
NSI20090114,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,26,1.244232
NSI20090114,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,354022,13,1.244232
NSI20090114,Gastropod,NON-COPEPOD,Mollusc,,,101,46,1.244232
NSI20090114,Ostracod,NON-COPEPOD,Ostracod,,,1078,7,1.244232
ROT20190306,Acartia (Acanthacartia) fossae f,COPEPOD,Copepod,Acartia (Acanthacartia),fossae,345933,4,0.509004
ROT20190306,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,2,0.509004
ROT20190306,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,3,0.509004
ROT20190306,Foraminifera,NON-COPEPOD,Foraminifera,,,1410,2,0.509004
NSI20090218,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,11,1.244232
NSI20090218,Harpacticoid j,COPEPOD,Copepod,,,1102,7,1.244232
NSI20090218,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,43,1.244232
NSI20090218,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,21,1.244232
NSI20090218,Chaetognatha,NON-COPEPOD,Chaetognath,,,2081,16,1.244232
NSI20090218,Egg,NON-COPEPOD,Egg,,,,6,1.244232
NSI20090218,Fritillariidae,NON-COPEPOD,Appendicularian,,,103354,16,1.244232
NSI20090218,Decapod larvae,NON-COPEPOD,Decapod,,,1130,4,1.244232
KAI20190320,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,25,0.56556
KAI20190320,Oithona setigera f,COPEPOD,Copepod,Oithona,setigera,106655,2,0.56556
NSI20090318,Decapod larvae,NON-COPEPOD,Decapod,,,1130,4,1.244232
NSI20090318,Rhincalanidae j,COPEPOD,Copepod,,,345271,1,0.622116
KAI20190320,Oithona similis f,COPEPOD,Copepod,Oithona,similis,106656,13,0.56556
KAI20190320,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,1,0.56556
KAI20190320,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,8,0.56556
KAI20190320,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,6,0.56556
KAI20190320,Fritillaria pellucida,NON-COPEPOD,Appendicularian,Fritillaria,pellucida,103386,1,0.56556
NSI20090416,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,30,2.488464
NSI20090416,Decapod larvae,NON-COPEPOD,Decapod,,,1130,1,0.622116
KAI20190320,Oikopleuridae,NON-COPEPOD,Appendicularian,,,103356,9,0.56556
KAI20190320,Prosobranch,NON-COPEPOD,Mollusc,,,102,1,0.56556
NSI20090527,Acartia (Acartia) negligens f,COPEPOD,Copepod,Acartia (Acartia),negligens,346030,4,1.244232
NSI20090527,Nannocalanus minor f,COPEPOD,Copepod,Nannocalanus,minor,104469,2,0.622116
NSI20090527,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,11,1.866348
NSI20090527,Pentacrinoid larvae,NON-COPEPOD,Echinoderm,,,1806,1,0.622116
NSI20090527,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,128938,1,0.622116
NSI20190322,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,1,0.622116
NSI20190322,Canthocalanus pauper m,COPEPOD,Copepod,Canthocalanus,pauper,220834,2,0.622116
NSI20190322,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,2,0.622116
NSI20190322,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,363905,1,0.622116
NSI20190322,Nauplii calanoid,COPEPOD,Copepod,,,1100,22,0.622116
NSI20190322,Oithona simplex f,COPEPOD,Copepod,Oithona,simplex,106657,13,0.622116
NSI20190322,Oncaea venusta typica m,COPEPOD,Copepod,Oncaea,venusta typica,363803,1,0.622116
NSI20090618,Farranula spp. f,COPEPOD,Copepod,Farranula,spp.,128636,3,0.622116
ESP20091216,Corycaeidae j,COPEPOD,Copepod,,,128569,10,1.018008
ESP20091216,Bivalve,NON-COPEPOD,Mollusc,,,105,20,1.018008
ESP20090917,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,30,1.527012
NSI20190322,Paracalanus denudatus f,COPEPOD,Copepod,Paracalanus,denudatus,104682,1,0.622116
NSI20190322,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,2,0.622116
NSI20190322,Polychaete larvae,NON-COPEPOD,Polychaete,,,883,1,0.622116
PHB20090920,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,2,2.26224
ESP20090917,Nauplii harpacticoid,COPEPOD,Copepod,,,1102,5,1.527012
ESP20090917,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,9,1.527012
ESP20090917,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,5,1.527012
ESP20091216,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,2,0.509004
ROT20091222,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,7,1.781514
ROT20091222,Nauplii calanoid,COPEPOD,Copepod,,,1100,87,1.781514
ROT20091222,Nauplii harpacticoid,COPEPOD,Copepod,,,1102,1,0.509004
ROT20091222,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,128938,12,1.781514
ROT20091222,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,9,1.781514
ROT20091222,Tisbidae spp. f,COPEPOD,Copepod,Tisbidae,spp.,115183,1,0.509004
ROT20091222,Echinoderm larvae,NON-COPEPOD,Echinoderm,,,1806,3,1.781514
NSI20091021,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,3,1.866348
MAI20091111,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,9,2.714688
MAI20091111,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,128938,3,1.809792
YON20091215,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,6,1.13112
ROT20091026,Farranula curta f,COPEPOD,Copepod,Farranula,curta,128812,2,1.018008
ROT20091026,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,4,0.509004
YON20091215,Centropages furcatus m,COPEPOD,Copepod,Centropages,furcatus,104495,2,0.56556
YON20090909,Medusa,NON-COPEPOD,Cnidarian,,,135220,1,0.2940912
YON20091215,Bivalve,NON-COPEPOD,Mollusc,,,105,37,1.13112
YON20091215,Calycophoran,NON-COPEPOD,Cnidarian,,,135333,3,0.84834
YON20100119,Labidocera spp. j,COPEPOD,Copepod,Labidocera,spp.,104208,2,0.5881824
YON20100119,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,,,1103,4,0.5881824
YON20100119,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,111,0.5881824
YON20100119,Brachyuran zoea,NON-COPEPOD,Decapod,,,106673,3,0.5881824
YON20100119,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,117034,1,0.2940912
PHB20100316,Eucalanus spp. j,COPEPOD,Copepod,Eucalanus,spp.,104171,1,113.112
PHB20100316,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,5,113.112
PHB20100316,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,10,113.112
PHB20100316,Medusa,NON-COPEPOD,Cnidarian,,,135220,2,113.112
NSI20091021,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,104880,1,0.622116
NSI20091021,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,17,0.622116
YON20090909,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,7,0.5881824
YON20090909,Onychocorycaeus agilis f,COPEPOD,Copepod,Onychocorycaeus,agilis,359743,3,0.5881824
YON20090909,Barnacle nauplii,NON-COPEPOD,Cirripedia,,,1082,1,0.2940912
PHB20091110,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,2,2.26224
PHB20091110,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,17,2.26224
PHB20091110,Subeucalanus subcrassus f,COPEPOD,Copepod,Subeucalanus,subcrassus,104548,3,1.13112
MAI20091111,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,117034,1,0.904896
YON20100119,Acrocalanus gibber f,COPEPOD,Copepod,Acrocalanus,gibber,104645,3,0.2940912
PHB20090920,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,1.13112
PHB20090920,Asteroidea larvae,NON-COPEPOD,Echinoderm,,,123080,1,1.13112
NSI20091215,Nauplii harpacticoid,COPEPOD,Copepod,,,1102,321,0.622116
NSI20091215,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,2,0.622116
NSI20091215,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,3,0.622116
YON20091123,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,24,0.5881824
YON20091123,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,8,0.5881824
PHB20091110,Oncaea venusta complex m,COPEPOD,Copepod,Oncaea,venusta complex,128954,1,1.13112
MAI20091207,Sapphirina spp. j,COPEPOD,Copepod,Sapphirina,spp.,128722,1,2.26224
NSI20091115,Calanoid j,COPEPOD,Copepod,,,1100,80,1.244232
NSI20091115,Harpacticoid j,COPEPOD,Copepod,,,1102,11,1.244232
NSI20091115,Macrosetella gracilis f,COPEPOD,Copepod,Macrosetella,gracilis,116382,39,1.244232
NSI20091115,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,7,1.244232
NSI20091115,Brachyuran zoea,NON-COPEPOD,Decapod,,,106673,2,0.622116
NSI20091115,Prosobranch,NON-COPEPOD,Mollusc,,,102,17,1.244232
NSI20091101,Eucalanus spp. j,COPEPOD,Copepod,Eucalanus,spp.,104171,6,1.244232
NSI20091101,Harpacticoid j,COPEPOD,Copepod,,,1102,4,0.622116
NSI20091101,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,14,1.244232
NSI20091101,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,4,1.244232
