TRIP_CODE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_COUNT,SAMPVOL_L
DAR20111005,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,96,0.04
DAR20111005,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,48,0.04
DAR20111005,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,4,0.04
DAR20111005,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,148912,12,0.04
DAR20111005,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,5,0.04
DAR20120114_2130,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,109473,7,0.04
DAR20120114_2130,Amphora spp.,Pennate diatom,Amphora,spp.,149200,11,0.04
DAR20120114_2130,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,7,0.04
DAR20120114_2130,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,149241,22,0.04
DAR20120114_2130,Chaetoceros lorenzianus,Centric diatom,Chaetoceros (Hyalochaete),lorenzianus,156617,30,0.04
DAR20120114_2130,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,4,0.04
DAR20120114_2130,Coscinodiscus spp. 200-300 µm,Centric diatom,Coscinodiscus,spp.,148917,1,0.04
DAR20120114_2130,Coscinodiscus spp. 60-80 µm,Centric diatom,Coscinodiscus,spp.,148917,7,0.04
DAR20120114_2130,Cyanobacteria cluster,Cyanobacteria,,,146537,75,0.04
DAR20120114_2130,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,205,0.04
DAR20120114_2130,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,15,0.04
DAR20120114_2130,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,7,0.04
DAR20120114_2130,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,4,0.04
DAR20120114_2130,Guinardia striata,Centric diatom,Guinardia,striata,149113,15,0.04
DAR20120114_2130,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,,,109392,4,0.04
DAR20120114_2130,Helicotheca spp.,Centric diatom,Helicotheca,spp.,157438,4,0.04
DAR20120114_2130,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,7,0.04
DAR20120114_2130,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,45,0.04
DAR20120114_2130,Navicula cf. 60-80 µm length,Pennate diatom,,,149031,7,0.04
DAR20120114_2130,Odontella spp. 150-200 µm cell length,Centric diatom,Odontella,spp.,148963,30,0.04
DAR20120114_2130,Odontella spp. >350 µm cell length,Centric diatom,Odontella,spp.,148963,4,0.04
DAR20120114_2130,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,45,0.04
DAR20120114_2130,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,110245,4,0.04
DAR20120114_2130,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,71,0.04
DAR20120114_2130,Rhizosolenia bergonii,Centric diatom,Rhizosolenia,bergonii,196811,15,0.04
DAR20120114_2130,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,108,0.04
DAR20120114_2130,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,149,0.04
DAR20120114_2335,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,109473,8,0.04
DAR20120114_2335,Amphora spp.,Pennate diatom,Amphora,spp.,149200,6,0.04
DAR20120114_2335,Asterionellopsis spp. ~50 µm length,Pennate diatom,Asterionellopsis,spp.,149138,12,0.04
DAR20120114_2335,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,2,0.04
DAR20120114_2335,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,149241,4,0.04
DAR20120114_2335,Chaetoceros decipiens < 15 µm cell width,Centric diatom,Chaetoceros (Hyalochaete),decipiens,149126,4,0.04
DAR20120114_2335,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,2,0.04
DAR20120114_2335,Cocconeis spp.,Pennate diatom,Cocconeis,spp.,148989,4,0.04
DAR20120114_2335,Coscinodiscus spp. 100-150 µm,Centric diatom,Coscinodiscus,spp.,148917,2,0.04
DAR20120114_2335,Coscinodiscus spp. 200-300 µm,Centric diatom,Coscinodiscus,spp.,148917,2,0.04
DAR20120114_2335,Coscinodiscus spp. 80-100 µm,Centric diatom,Coscinodiscus,spp.,148917,8,0.04
DAR20120114_2335,Cyanobacteria cluster,Cyanobacteria,,,146537,82,0.04
DAR20120114_2335,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,142,0.04
DAR20120114_2335,Cymbella spp.,Pennate diatom,Cymbella,spp.,149538,2,0.04
DAR20120114_2335,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,2,0.04
DAR20120114_2335,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,6,0.04
DAR20120114_2335,Guinardia striata,Centric diatom,Guinardia,striata,149113,58,0.04
DAR20120114_2335,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,149135,4,0.04
DAR20120114_2335,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,21,0.04
DAR20120114_2335,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,68,0.04
DAR20120114_2335,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,10,0.04
DAR20120114_2335,Navicula cf. 60-80 µm length,Pennate diatom,,,149031,6,0.04
DAR20120114_2335,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,549210,49,0.04
DAR20120114_2335,Odontella spp. 150-200 µm cell length,Centric diatom,Odontella,spp.,148963,10,0.04
DAR20120114_2335,Odontella spp. >350 µm cell length,Centric diatom,Odontella,spp.,148963,8,0.04
DAR20120114_2335,Paralia sulcata,Centric diatom,Paralia,sulcata,149055,37,0.04
DAR20120114_2335,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,41,0.04
DAR20120114_2335,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,2,0.04
DAR20120114_2335,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,43,0.04
DAR20120114_2335,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,49,0.04
DAR20120114_2335,Rhizosolenia bergonii,Centric diatom,Rhizosolenia,bergonii,196811,6,0.04
DAR20120114_2335,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,2,0.04
DAR20120114_2335,Rhizosolenia imbricata,Centric diatom,Rhizosolenia,imbricata,149116,4,0.04
DAR20120114_2335,Rhizosolenia pungens,Centric diatom,Rhizosolenia,pungens,149117,6,0.04
DAR20120114_2335,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,4,0.04
DAR20120114_2335,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,196,0.04
DAR20120114_2335,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,148912,6,0.04
DAR20120114_2335,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,35,0.04
DAR20120114_2335,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,841746,2,0.04
DAR20120115_0335,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,109473,4,0.04
DAR20120115_0335,Amphora spp.,Pennate diatom,Amphora,spp.,149200,2,0.04
DAR20120115_0335,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,2,0.04
DAR20120115_0335,Coscinodiscus spp. 150-200 µm,Centric diatom,Coscinodiscus,spp.,148917,2,0.04
DAR20120115_0335,Coscinodiscus spp. 80-100 µm,Centric diatom,Coscinodiscus,spp.,148917,13,0.04
DAR20120115_0335,Cyanobacteria cluster,Cyanobacteria,,,146537,37,0.04
DAR20120115_0335,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,11,0.04
DAR20120115_0335,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,2,0.04
DAR20120115_0335,Guinardia striata,Centric diatom,Guinardia,striata,149113,2,0.04
DAR20120115_0335,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,18,0.04
DAR20120115_0335,Navicula cf. 100-120 µm length,Pennate diatom,,,149031,6,0.04
DAR20120115_0335,Odontella spp. 150-200 µm cell length,Centric diatom,Odontella,spp.,148963,46,0.04
DAR20120115_0335,Odontella spp. >350 µm cell length,Centric diatom,Odontella,spp.,148963,13,0.04
DAR20120115_0335,Paralia sulcata,Centric diatom,Paralia,sulcata,149055,22,0.04
DAR20120115_0335,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,22,0.04
DAR20120115_0335,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,369,0.04
DAR20120115_0335,Rhizosolenia bergonii,Centric diatom,Rhizosolenia,bergonii,196811,4,0.04
DAR20120115_0335,Rhizosolenia pungens,Centric diatom,Rhizosolenia,pungens,149117,2,0.04
DAR20120115_0335,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,118,0.04
DAR20120115_0335,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,148912,22,0.04
DAR20120115_0335,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,2,0.04
DAR20120115_0335,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,840626,2,0.04
DAR20120115_0540,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,7,0.04
DAR20120115_0540,Coscinodiscus spp. 200-300 µm,Centric diatom,Coscinodiscus,spp.,148917,7,0.04
DAR20120115_0540,Coscinodiscus spp. 80-100 µm,Centric diatom,Coscinodiscus,spp.,148917,7,0.04
DAR20120115_0540,Cyanobacteria cluster,Cyanobacteria,,,146537,408,0.04
DAR20120115_0540,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,41,0.04
DAR20120115_0540,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,17,0.04
DAR20120115_0540,Eucampia spp. >100 µm cell length,Centric diatom,Eucampia,spp.,149130,10,0.04
DAR20120115_0540,Guinardia striata,Centric diatom,Guinardia,striata,149113,14,0.04
DAR20120115_0540,Lauderia spp.,Centric diatom,Lauderia,spp.,149134,7,0.04
DAR20120115_0540,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,20,0.04
DAR20120115_0540,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,14,0.04
DAR20120115_0540,Neostreptotheca subindica,Centric diatom,Neostreptotheca,subindica,573498,3,0.04
DAR20120115_0540,Odontella spp. 150-200 µm cell length,Centric diatom,Odontella,spp.,148963,10,0.04
DAR20120115_0540,Odontella spp. >350 µm cell length,Centric diatom,Odontella,spp.,148963,10,0.04
DAR20120115_0540,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,24,0.04
DAR20120115_0540,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,3,0.04
DAR20120115_0540,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,238,0.04
DAR20120115_0540,Rhizosolenia pungens,Centric diatom,Rhizosolenia,pungens,149117,7,0.04
DAR20120115_0540,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,7,0.04
DAR20120115_0540,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,442,0.04
DAR20120115_0540,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,148912,14,0.04
DAR20120115_0540,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,17,0.04
DAR20120417,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,5,0.0384
DAR20120417,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,2,0.0384
DAR20120417,Chaetoceros lorenzianus,Centric diatom,Chaetoceros (Hyalochaete),lorenzianus,156617,4,0.0384
DAR20120417,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,178185,2,0.0384
DAR20120417,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,14,0.0384
DAR20120417,Coscinodiscus spp. 200-300 µm,Centric diatom,Coscinodiscus,spp.,148917,2,0.096
DAR20120417,Cyanobacteria coccoid chain,Cyanobacteria,,,146537,26,0.0384
DAR20120417,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,61,0.0384
DAR20120417,Dactyliosolen fragilissimus <150 µm length,Centric diatom,Dactyliosolen,fragilissimus,149310,28,0.0384
DAR20120417,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,157463,1,0.0384
DAR20120417,Diploneis spp.,Pennate diatom,Diploneis,spp.,149018,6,0.0384
DAR20120417,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,2,0.0384
DAR20120417,Fragilaria spp.,Pennate diatom,Fragilaria,spp.,149028,10,0.0384
DAR20120417,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,15,0.096
DAR20120417,Guinardia striata,Centric diatom,Guinardia,striata,149113,1,0.0384
DAR20120417,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,2,0.0384
DAR20120417,Lauderia spp.,Centric diatom,Lauderia,spp.,149134,4,0.0384
DAR20120417,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,7,0.0384
DAR20120417,Navicula cf. 40-60 µm length,Pennate diatom,,,149031,13,0.0384
DAR20120417,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,149045,56,0.0384
DAR20120417,Odontella mobiliensis,Centric diatom,Odontella,mobiliensis,164116,2,0.0384
DAR20120417,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,64,0.0384
DAR20120417,Proboscia alata,Centric diatom,Proboscia,alata,149168,4,0.096
DAR20120417,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,34,0.0384
DAR20120417,Rhizosolenia bergonii,Centric diatom,Rhizosolenia,bergonii,196811,2,0.0384
DAR20120417,Rhizosolenia robusta,Centric diatom,Rhizosolenia,robusta,149311,1,0.096
DAR20120417,Rhizosolenia setigera group,Centric diatom,Rhizosolenia,cf. setigera,149115,1,0.0384
DAR20120417,Surirella spp.,Pennate diatom,Surirella,spp.,149084,2,0.0384
DAR20120417,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,3,0.0384
DAR20120417,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,14,0.0384
DAR20120417,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,148912,9,0.0384
DAR20120417,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,148912,1,0.0384
DAR20120417,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,23,0.0384
DAR20120417,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,47,0.0384
DAR20120417,Unid dinoflagellate < 10 µm,Dinoflagellate,,,146203,8,0.0384
DAR20120729_1630,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,4,0.0212631578947368421052631578947368421053
DAR20120729_1630,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,149241,3,0.0212631578947368421052631578947368421053
DAR20120729_1630,Chaetoceros lorenzianus,Centric diatom,Chaetoceros (Hyalochaete),lorenzianus,156617,10,0.0212631578947368421052631578947368421053
DAR20120729_1630,Coscinodiscus spp. 100-150 µm,Centric diatom,Coscinodiscus,spp.,148917,2,0.106315789473684210526315789473684210526
DAR20120729_1630,Coscinodiscus spp. 150-200 µm,Centric diatom,Coscinodiscus,spp.,148917,2,0.106315789473684210526315789473684210526
DAR20120729_1630,Cyanobacteria coccoid chain,Cyanobacteria,,,146537,24,0.0212631578947368421052631578947368421053
DAR20120729_1630,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,16,0.0212631578947368421052631578947368421053
DAR20120729_1630,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,157463,8,0.0212631578947368421052631578947368421053
DAR20120729_1630,Diploneis spp.,Pennate diatom,Diploneis,spp.,149018,2,0.0212631578947368421052631578947368421053
DAR20120729_1630,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,6,0.0212631578947368421052631578947368421053
DAR20120729_1630,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,149313,72,0.0212631578947368421052631578947368421053
DAR20120729_1630,Guinardia striata,Centric diatom,Guinardia,striata,149113,4,0.0212631578947368421052631578947368421053
DAR20120729_1630,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,1,0.0212631578947368421052631578947368421053
DAR20120729_1630,Hemiaulus hauckii,Centric diatom,Hemiaulus,hauckii,163249,2,0.0212631578947368421052631578947368421053
DAR20120729_1630,Hemiaulus membranaceus,Centric diatom,Hemiaulus,membranaceus,418540,7,0.0212631578947368421052631578947368421053
DAR20120729_1630,Lauderia spp.,Centric diatom,Lauderia,spp.,149134,4,0.0212631578947368421052631578947368421053
DAR20120729_1630,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,3,0.0212631578947368421052631578947368421053
DAR20120729_1630,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,3,0.0212631578947368421052631578947368421053
DAR20120729_1630,Navicula cf. 100-120 µm length,Pennate diatom,,,149031,1,0.0212631578947368421052631578947368421053
DAR20120729_1630,Navicula cf. 40-60 µm length,Pennate diatom,,,149031,4,0.0212631578947368421052631578947368421053
DAR20120729_1630,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,341566,1,0.0212631578947368421052631578947368421053
DAR20120729_1630,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,149045,3,0.0212631578947368421052631578947368421053
DAR20120729_1630,Odontella mobiliensis,Centric diatom,Odontella,mobiliensis,164116,1,0.106315789473684210526315789473684210526
DAR20120729_1630,Odontella sinensis,Centric diatom,Odontella,sinensis,149095,1,0.0212631578947368421052631578947368421053
DAR20120729_1630,Odontella spp. 150-200 µm cell length,Centric diatom,Odontella,spp.,148963,6,0.0212631578947368421052631578947368421053
DAR20120729_1630,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,6,0.0212631578947368421052631578947368421053
DAR20120729_1630,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,2,0.0212631578947368421052631578947368421053
DAR20120729_1630,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,4,0.0212631578947368421052631578947368421053
DAR20120729_1630,Pseudosolenia spp. ~30 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,2,0.106315789473684210526315789473684210526
DAR20120729_1630,Rhizosolenia setigera group,Centric diatom,Rhizosolenia,cf. setigera,149115,5,0.0212631578947368421052631578947368421053
DAR20120729_1630,Strombidium spp.,Ciliate,Strombidium,spp.,101195,20,0.0212631578947368421052631578947368421053
DAR20120729_1630,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,148912,9,0.0212631578947368421052631578947368421053
DAR20120729_1630,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,840627,1,0.106315789473684210526315789473684210526
DAR20120729_1630,Unid dinoflagellate > 10 µm,Dinoflagellate,,,146203,1,0.0212631578947368421052631578947368421053
DAR20121029,Amphora spp.,Pennate diatom,Amphora,spp.,149200,3,0.0204842105263157894736842105263157894737
DAR20121029,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,2,0.0204842105263157894736842105263157894737
DAR20121029,Chaetoceros affinis,Centric diatom,Chaetoceros (Hyalochaete),affinis,149241,14,0.0204842105263157894736842105263157894737
DAR20121029,Coscinodiscus spp. 80-100 µm,Centric diatom,Coscinodiscus,spp.,148917,1,0.0204842105263157894736842105263157894737
DAR20121029,Cyanobacteria cluster,Cyanobacteria,,,146537,56,0.0204842105263157894736842105263157894737
DAR20121029,Cyanobacteria coccoid chain,Cyanobacteria,,,146537,3,0.0204842105263157894736842105263157894737
DAR20121029,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,104,0.0204842105263157894736842105263157894737
DAR20121029,Diploneis spp.,Pennate diatom,Diploneis,spp.,149018,1,0.0204842105263157894736842105263157894737
DAR20121029,Ditylum brightwellii > 40 µm width,Centric diatom,Ditylum,brightwellii,149023,3,0.0204842105263157894736842105263157894737
DAR20121029,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,149313,44,0.0204842105263157894736842105263157894737
DAR20121029,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,1,0.0204842105263157894736842105263157894737
DAR20121029,Guinardia striata,Centric diatom,Guinardia,striata,149113,3,0.0204842105263157894736842105263157894737
DAR20121029,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,2,0.0204842105263157894736842105263157894737
DAR20121029,Lauderia spp.,Centric diatom,Lauderia,spp.,149134,3,0.0204842105263157894736842105263157894737
