SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,CELL_COUNT,SAMPVOL_L
2,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,62,0.04
2,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,2,0.04
2,Rhizosolenia imbricata,Centric diatom,Rhizosolenia,imbricata,1,0.04
2,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,2,0.04
2,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,3,0.04
2,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,1,0.04
2,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,2,0.04
2,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,1,0.04
2,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),184,0.04
3,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,45,0.04
3,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,9,0.04
3,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,101,0.04
3,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,84,0.04
3,Chrysophyceae,Flagellate,(null),(null),1,0.04
3,Climacodium spp.,Centric diatom,Climacodium,spp.,12,0.04
3,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,2,0.04
3,Cryptophyta < 10 µm length,Flagellate,(null),(null),245,0.04
3,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,89,0.04
3,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,58,0.04
3,Flagellate <10 µm fusiform,Flagellate,(null),(null),560,0.04
3,Flagellate <10 µm round,Flagellate,(null),(null),2168,0.04
3,Guinardia delicatula,Centric diatom,Guinardia,delicatula,9,0.04
3,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,7,0.04
3,Guinardia striata,Centric diatom,Guinardia,striata,38,0.04
3,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),7,0.04
3,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,5,0.04
3,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,54,0.04
3,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,19,0.04
3,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,201,0.04
3,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,16,0.04
3,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,2,0.04
3,Meuniera membranacea,Pennate diatom,Meuniera,meuniera,2,0.04
3,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),2,0.04
3,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,2,0.04
3,Prasinophytes,Flagellate,(null),(null),105,0.04
3,Proboscia alata,Centric diatom,Proboscia,alata,105,0.04
3,Prymnesiophytes,Flagellate,(null),(null),140,0.04
3,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,135,0.04
3,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,23,0.04
3,Rhizosolenia imbricata,Centric diatom,Rhizosolenia,imbricata,3,0.04
3,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,33,0.04
3,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,3,0.04
3,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3,0.04
3,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,14,0.04
3,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,2,0.04
3,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),70,0.04
4,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,2,0.04
4,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,122,0.04
4,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,8,0.04
4,Chrysophyceae,Flagellate,(null),(null),2,0.04
4,Climacodium spp.,Centric diatom,Climacodium,spp.,2,0.04
4,Cryptophyta < 10 µm length,Flagellate,(null),(null),246,0.04
4,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,22,0.04
4,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,55,0.04
4,Flagellate <10 µm fusiform,Flagellate,(null),(null),3350,0.04
4,Flagellate <10 µm round,Flagellate,(null),(null),8571,0.04
4,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,2,0.04
4,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,33,0.04
4,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,132,0.04
4,Navicula cf. 100-120 µm length,Pennate diatom,(null),(null),2,0.04
4,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,6,0.04
4,Prasinophytes,Flagellate,(null),(null),345,0.04
4,Prymnesiophytes,Flagellate,(null),(null),936,0.04
4,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,142,0.04
4,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,35,0.04
4,Raphidophytes,Flagellate,(null),(null),4,0.04
4,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,35,0.04
4,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,0,0.04
4,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),99,0.04
5,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,17,0.04
5,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,294,0.04
5,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,160,0.04
5,Chrysophyceae,Flagellate,(null),(null),4,0.04
5,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,4,0.04
5,Cryptophyta < 10 µm length,Flagellate,(null),(null),336,0.04
5,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,88,0.04
5,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,105,0.04
5,Flagellate <10 µm fusiform,Flagellate,(null),(null),2772,0.04
5,Flagellate <10 µm round,Flagellate,(null),(null),5964,0.04
5,Guinardia delicatula,Centric diatom,Guinardia,delicatula,25,0.04
5,Guinardia striata,Centric diatom,Guinardia,striata,42,0.04
5,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,29,0.04
5,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,231,0.04
5,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,13,0.04
5,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,67,0.04
5,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,42,0.04
5,Prasinophytes,Flagellate,(null),(null),126,0.04
5,Proboscia alata,Centric diatom,Proboscia,alata,42,0.04
5,Prymnesiophytes,Flagellate,(null),(null),168,0.04
5,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,802,0.04
5,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,8,0.04
5,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,42,0.04
5,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,8,0.04
5,Skeletonema spp.,Centric diatom,Skeletonema,spp.,50,0.04
5,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,8,0.04
5,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,8,0.04
5,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3,0.04
5,Tripos spp.,Dinoflagellate,Tripos,spp.,0,0.04
5,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),84,0.04
6,Actinocyclus spp.,Centric diatom,Actinocyclus,spp.,2,0.04
6,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,20,0.04
6,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,3,0.04
6,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,45,0.04
6,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,223,0.04
6,Chrysophyceae,Flagellate,(null),(null),3,0.04
6,Climacodium spp.,Centric diatom,Climacodium,spp.,2,0.04
6,Cryptophyta < 10 µm length,Flagellate,(null),(null),233,0.04
6,Cyanobacteria cluster,Cyanobacteria,(null),(null),83,0.04
6,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,52,0.04
6,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,7,0.04
6,Entomoneis spp.,Pennate diatom,Entomoneis,spp.,3,0.04
6,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,2,0.04
6,Flagellate <10 µm fusiform,Flagellate,(null),(null),1933,0.04
6,Flagellate <10 µm round,Flagellate,(null),(null),6333,0.04
6,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3,0.04
6,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,3,0.04
6,Guinardia striata,Centric diatom,Guinardia,striata,2,0.04
6,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),2,0.04
6,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,7,0.04
6,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,13,0.04
6,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,43,0.04
6,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,3,0.04
6,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,38,0.04
6,Licmophora spp. < 150 µm,Pennate diatom,Licmophora,spp.,3,0.04
6,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,0,0.04
6,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),2,0.04
6,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,2,0.04
6,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,13,0.04
6,Planktoniella spp.,Centric diatom,Planktoniella,spp.,0,0.04
6,Prasinophytes,Flagellate,(null),(null),67,0.04
6,Proboscia alata,Centric diatom,Proboscia,alata,3,0.04
6,Prymnesiophytes,Flagellate,(null),(null),433,0.04
6,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,335,0.04
6,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,12,0.04
6,Pseudosolenia spp. ~30 µm cell width,Centric diatom,Pseudosolenia,spp.,0,0.04
6,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,1,0.04
6,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,10,0.04
6,Skeletonema spp.,Centric diatom,Skeletonema,spp.,47,0.04
6,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,25,0.04
6,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,5,0.04
6,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,2,0.04
6,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),367,0.04
7,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,13,0.04
7,Chrysophyceae,Flagellate,(null),(null),2,0.04
7,Cryptophyta < 10 µm length,Flagellate,(null),(null),683,0.04
7,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,7,0.04
7,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,9,0.04
7,Flagellate <10 µm fusiform,Flagellate,(null),(null),3826,0.04
7,Flagellate <10 µm round,Flagellate,(null),(null),10110,0.04
7,Gonyaulax spp.,Dinoflagellate,Gonyaulax,spp.,2,0.04
7,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),2,0.04
7,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,20,0.04
7,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,2,0.04
7,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,4,0.04
7,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,4,0.04
7,Navicula cf. 20-40 µm length,Pennate diatom,(null),(null),5,0.04
7,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,4,0.04
7,Prasinophytes,Flagellate,(null),(null),774,0.04
7,Prymnesiophytes,Flagellate,(null),(null),228,0.04
7,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,1907,0.04
7,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,5,0.04
7,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,2,0.04
7,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,2,0.04
7,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,4,0.04
7,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,2,0.04
7,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),319,0.04
8,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3,0.04
8,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,16,0.04
8,Chaetoceros didymus,Centric diatom,Chaetoceros (Hyalochaete),didymus,3,0.04
8,Chaetoceros eibenii,Centric diatom,Chaetoceros (Phaeoceros),eibenii,3,0.04
8,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,56,0.04
8,Chrysophyceae,Flagellate,(null),(null),2,0.04
8,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,3,0.04
8,Cryptophyta < 10 µm length,Flagellate,(null),(null),192,0.04
8,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,13,0.04
8,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,26,0.04
8,Eucampia spp. <100 µm cell length,Centric diatom,Eucampia,spp.,26,0.04
8,Flagellate <10 µm fusiform,Flagellate,(null),(null),1598,0.04
8,Flagellate <10 µm round,Flagellate,(null),(null),9143,0.04
8,Guinardia delicatula,Centric diatom,Guinardia,delicatula,102,0.04
8,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,3,0.04
8,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),10,0.04
8,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,14,0.04
8,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,11,0.04
8,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,168,0.04
8,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),14,0.04
8,Navicula cf. 80-100 µm length,Pennate diatom,(null),(null),3,0.04
8,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,0,0.04
8,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,19,0.04
8,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,3,0.04
8,Prasinophytes,Flagellate,(null),(null),160,0.04
8,Proboscia alata,Centric diatom,Proboscia,alata,315,0.04
8,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,3,0.04
8,Prymnesiophytes,Flagellate,(null),(null),64,0.04
8,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,224,0.04
8,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,45,0.04
8,Pseudosolenia spp. ~60 µm cell width,Centric diatom,Pseudosolenia,spp.,2,0.04
8,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,11,0.04
8,Skeletonema spp.,Centric diatom,Skeletonema,spp.,42,0.04
8,Stephanopyxis spp.,Centric diatom,Stephanopyxis,spp.,6,0.04
8,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,3,0.04
8,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,16,0.04
8,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,2,0.04
8,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),543,0.04
9,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,3,0.04
9,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,1,0.04
9,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,4,0.04
9,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,5,0.04
9,Chrysophyceae,Flagellate,(null),(null),1,0.04
9,Climacodium spp.,Centric diatom,Climacodium,spp.,3,0.04
9,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,3,0.04
9,Cryptophyta < 10 µm length,Flagellate,(null),(null),329,0.04
9,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,9,0.04
9,Flagellate <10 µm fusiform,Flagellate,(null),(null),2558,0.04
9,Flagellate <10 µm round,Flagellate,(null),(null),5994,0.04
9,Gonyaulax spp.,Dinoflagellate,Gonyaulax,spp.,1,0.04
9,Guinardia striata,Centric diatom,Guinardia,striata,4,0.04
9,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,2,0.04
9,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,6,0.04
9,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,4,0.04
9,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),3,0.04
9,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,3,0.04
9,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,3,0.04
9,Prasinophytes,Flagellate,(null),(null),256,0.04
9,Proboscia alata,Centric diatom,Proboscia,alata,1,0.04
9,Prymnesiophytes,Flagellate,(null),(null),292,0.04
9,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,13,0.04
9,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,2,0.04
9,Pseudosolenia spp. ~60 µm cell width,Centric diatom,Pseudosolenia,spp.,2,0.04
9,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,9,0.04
9,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,4,0.04
9,Tripos spp.,Dinoflagellate,Tripos,spp.,2,0.04
9,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146,0.04
10,Chaetoceros danicus,Centric diatom,Chaetoceros (Phaeoceros),danicus,2,0.04
10,Chrysophyceae,Flagellate,(null),(null),1,0.04
10,Climacodium spp.,Centric diatom,Climacodium,spp.,4,0.04
10,Cryptophyta < 10 µm length,Flagellate,(null),(null),217,0.04
10,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,2,0.04
10,Flagellate <10 µm fusiform,Flagellate,(null),(null),2341,0.04
10,Flagellate <10 µm round,Flagellate,(null),(null),7890,0.04
10,Guinardia striata,Centric diatom,Guinardia,striata,17,0.04
10,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),5,0.04
10,Gymnodinium spp.,Dinoflagellate,Gymnodinium,spp.,1,0.04
10,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,4,0.04
10,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,9,0.04
10,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,7,0.04
10,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),1,0.04
10,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,87,0.04
10,Podolampas spp.,Dinoflagellate,Podolampas,spp.,1,0.04
10,Prasinophytes,Flagellate,(null),(null),260,0.04
10,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,4,0.04
10,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,1,0.04
10,Prymnesiophytes,Flagellate,(null),(null),87,0.04
10,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3,0.04
10,Pyrocystis noctiluca,Dinoflagellate,Pyrocystis,noctiluca,9,0.04
10,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,2,0.04
10,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,4,0.04
10,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,12,0.04
10,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,1,0.04
10,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3,0.04
10,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,1,0.04
10,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,1,0.04
10,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,1,0.04
10,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),173,0.04
11,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,9,0.04
11,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,9,0.04
11,Chrysophyceae,Flagellate,(null),(null),4,0.04
11,Cryptophyta < 10 µm length,Flagellate,(null),(null),946,0.04
11,Cyanobacteria cluster,Cyanobacteria,(null),(null),18,0.04
11,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,18,0.04
11,Dinophysis spp.,Dinoflagellate,Dinophysis,spp.,1,0.04
11,Flagellate <10 µm fusiform,Flagellate,(null),(null),1537,0.04
11,Flagellate <10 µm round,Flagellate,(null),(null),6621,0.04
11,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,9,0.04
11,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,67,0.04
11,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,4,0.04
11,Prasinophytes,Flagellate,(null),(null),296,0.04
11,Prymnesiophytes,Flagellate,(null),(null),1182,0.04
11,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,1060,0.04
11,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,27,0.04
11,Skeletonema spp.,Centric diatom,Skeletonema,spp.,18,0.04
11,Tripos spp.,Dinoflagellate,Tripos,spp.,2,0.04
11,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),414,0.04
12,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,5,0.04
12,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,104,0.04
12,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,7,0.04
12,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,71,0.04
12,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,424,0.04
12,Chrysophyceae,Flagellate,(null),(null),17,0.04
12,Climacodium spp.,Centric diatom,Climacodium,spp.,35,0.04
12,Cryptophyta < 10 µm length,Flagellate,(null),(null),67,0.04
12,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,81,0.04
12,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,471,0.04
12,Flagellate <10 µm fusiform,Flagellate,(null),(null),673,0.04
12,Flagellate <10 µm round,Flagellate,(null),(null),1616,0.04
12,Guinardia delicatula,Centric diatom,Guinardia,delicatula,13,0.04
12,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,1,0.04
12,Guinardia striata,Centric diatom,Guinardia,striata,57,0.04
12,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),3,0.04
12,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,5,0.04
