SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,ZOOP_ABUNDANCE_M3
911,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,7.0726
1046,Clausocalanus paululus f,COPEPOD,Copepod,Clausocalanus,paululus,104508,18.0031
119,Acartia (Acartiura) simplex f,COPEPOD,Copepod,Acartia (Acartiura),simplex,346040,2.2453
523,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,6.8006
464,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,7.8585
632,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,3.2148
726,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,19.6462
685,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,3.1434
691,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,13.6012
783,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,14.1453
856,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,17.6816
873,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,15.717
914,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,13.6012
1072,Lubbockia spp. j,COPEPOD,Copepod,Lubbockia,spp.,128672,25.7187
4,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,1.1788
74,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,31.4339
544,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.0726
864,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,7.8585
868,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,6.4297
1074,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,128691,6.4297
180,Centropages elongatus m,COPEPOD,Copepod,Centropages,elongatus,220902,3.2148
307,Euchaeta concinna f,COPEPOD,Copepod,Euchaeta,concinna,104551,13.6012
388,Euchaeta concinna f,COPEPOD,Copepod,Euchaeta,concinna,104551,0.7858
914,Euchaeta concinna f,COPEPOD,Copepod,Euchaeta,concinna,104551,54.4049
413,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,19.289
429,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,42.4358
421,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,1.4145
901,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,128954,12.8593
379,Neocalanus spp. CV,COPEPOD,Copepod,Neocalanus,spp.,104155,74.2627
531,Neocalanus spp. CV,COPEPOD,Copepod,Neocalanus,spp.,104155,14.1453
379,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,346252,1.7682
834,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,346252,0.7858
999,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,346252,23.5755
436,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,104673,7.0726
561,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,104673,2.6943
754,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,104673,23.5755
1054,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,104673,1.3472
122,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,12.8593
83,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,60.1174
158,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,2.2102
200,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,6.4297
130,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,3.2148
132,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,6.4297
114,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,7.8585
62,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,3.5363
304,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,1.4145
299,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,6.4297
367,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,6.4297
59,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,1.7682
525,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,20.4018
677,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,37.7207
843,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,6.4297
83,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,1.7682
12,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,0.0354
367,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,12.8593
544,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,3.5363
311,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,0.32
424,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,0.2406
440,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,7.8585
441,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,23.5755
443,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,3.9292
445,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,2.2102
74,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,55.0094
495,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,36.8366
483,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,3.2148
497,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,1.0104
731,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,2.7202
528,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,7.8585
464,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,15.717
530,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,7.0726
629,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,6.8006
655,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,5.4405
631,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,5.4405
727,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,12.8593
846,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,7.8585
848,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,23.5755
905,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,15.717
1078,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,17.6816
1081,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,123.7711
1084,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,5.4405
995,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,8.8408
535,Stomatopod,NON-COPEPOD,Decapod,(null),(null),14355,0.3929
1072,Stomatopod,NON-COPEPOD,Decapod,(null),(null),14355,12.8593
184,Corycaeus spp. m,COPEPOD,Copepod,Corycaeus,spp.,128634,2.1432
111,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,2.3575
132,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,3.2148
806,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,66.0113
153,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,26.5224
123,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,330.9994
26,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,534.3769
111,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,10.609
90,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,263.2592
127,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,388.995
424,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,30.7924
439,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,15.717
443,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,3.9292
61,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,63.6537
434,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,172.8867
446,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,3.1434
59,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,3.5363
411,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,254.6149
486,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,1.5717
515,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,10.9371
518,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,27.0637
556,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,212.1791
635,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,78.5848
637,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,6.4297
772,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,7.0726
775,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,636.5372
802,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,6.4297
822,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,158.7735
842,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,9.4302
884,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,200.3914
984,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,7.6876
985,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,184.5035
1004,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,25.7187
1017,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,322.1979
995,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,1644.3879
188,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,1.1788
201,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,4.2436
27,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,31.4339
163,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,1304.5084
43,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,18.1868
787,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,12.8593
822,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,7.217
992,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,17.6816
1002,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,12.8593
1140,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,3.5363
81,Pseudevadne tergestina m,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,7.0726
41,Oncaea media complex,COPEPOD,Copepod,Oncaea,media complex,128938,1.7682
748,Oncaea clevei complex,COPEPOD,Copepod,Oncaea,clevei complex,354022,1.7682
429,Lucicutia spp. m,COPEPOD,Copepod,Lucicutia,spp.,104183,14.1453
478,Lucicutia spp. m,COPEPOD,Copepod,Lucicutia,spp.,104183,0.6076
69,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,220919,6.4297
23,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,220919,3.2003
395,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,220919,6.4297
31,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,0.6501
111,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,14.1453
192,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,15.0026
4,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,5.8939
197,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,3.3153
116,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,16.0742
149,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,15.717
117,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,13.2612
43,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,0.7858
406,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,54.4049
360,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,7.8585
367,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,12.8593
494,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,6.6797
731,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.7202
535,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,1.5717
541,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.3575
543,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,3.3153
629,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.2669
649,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,7.0726
654,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,1.7682
730,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,7.0726
677,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,23.5755
737,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,11.7877
749,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,28.2905
743,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,13.6012
748,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,30.0587
834,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,14.9311
821,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,31.4339
838,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,89.5867
829,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,14.1453
842,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,4.7151
878,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,39.7836
916,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.5487
1002,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,6.4297
1003,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,6.4297
1014,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,10.609
1015,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,15.717
842,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,342443,4.7151
64,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,220.0376
106,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,86.4433
141,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,34.0534
394,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,16.8396
424,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,0.4811
74,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,86.4433
438,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,23.5755
398,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,2.2102
459,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,165.0282
525,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,6.8006
561,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,6.0623
531,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,4.7151
648,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,4.7151
640,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,4.2436
685,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,15.717
695,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,14.1453
671,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,7.8585
702,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,102.1603
741,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,12.8593
757,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,84.8716
754,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,9.4302
816,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,6.4297
821,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,47.1509
985,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,69.1888
889,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,7.8585
1079,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,8.8408
1046,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,2.5719
1053,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),146142,14.1453
31,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,0.0433
49,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,4.4204
188,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1.7682
479,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1.551
493,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1.886
499,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,0.221
642,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1.1788
735,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,2.3575
999,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,23.5755
1138,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,61.2962
109,Calanus australis m,COPEPOD,Copepod,Calanus,australis,345760,1.0104
188,Calanus australis m,COPEPOD,Copepod,Calanus,australis,345760,2.9469
96,Calanus australis m,COPEPOD,Copepod,Calanus,australis,345760,1.263
541,Calanus australis m,COPEPOD,Copepod,Calanus,australis,345760,1.1788
107,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,1.8945
86,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,0.442
194,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,7.9567
29,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,3.5363
117,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,0.8841
43,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,0.7858
280,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,1.7682
281,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,9.3608
776,Aetideus acutus f,COPEPOD,Copepod,Aetideus,acutus,104273,7.8585
153,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,104597,2.5259
486,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,104597,1.0478
517,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,104597,2.3575
668,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,104597,3.1434
864,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,104597,7.8585
183,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,3.5363
77,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,11.3667
133,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,9.2828
426,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,27.2024
399,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,1.837
531,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,80.1565
666,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,3.5363
675,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,8.2514
756,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,7.0726
770,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,0.1813
819,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,23.5755
847,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,7.0726
842,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,42.4358
916,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,0.7646
980,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,3.5363
1054,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,6.7358
995,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,8.8408
1053,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,28.2905
1149,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,14.1453
1140,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,3.5363
21,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,104161,0.3536
75,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,104161,0.7578
281,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,104161,2.0802
395,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,104161,6.4297
183,Clytemnestra scutellata m,COPEPOD,Copepod,Clytemnestra,scutellata,115805,3.5363
480,Clytemnestra scutellata m,COPEPOD,Copepod,Clytemnestra,scutellata,115805,1.5717
152,Clytemnestra spp. j,COPEPOD,Copepod,Clytemnestra,spp.,115273,0.7367
841,Clytemnestra spp. j,COPEPOD,Copepod,Clytemnestra,spp.,115273,3.5363
84,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,7.8585
188,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,0.5894
44,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,1.4735
202,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,0.7073
377,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,3.2148
489,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,1.1788
561,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,2.6943
848,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,7.8585
292,Calanoid j,COPEPOD,Copepod,(null),(null),1100,527.2329
22,Calanoid j,COPEPOD,Copepod,(null),(null),1100,13.3496
84,Calanoid j,COPEPOD,Copepod,(null),(null),1100,285.5249
175,Calanoid j,COPEPOD,Copepod,(null),(null),1100,282.9054
184,Calanoid j,COPEPOD,Copepod,(null),(null),1100,175.7443
1,Calanoid j,COPEPOD,Copepod,(null),(null),1100,95.9858
111,Calanoid j,COPEPOD,Copepod,(null),(null),1100,221.6093
142,Calanoid j,COPEPOD,Copepod,(null),(null),1100,1604.9443
44,Calanoid j,COPEPOD,Copepod,(null),(null),1100,39.7836
2,Calanoid j,COPEPOD,Copepod,(null),(null),1100,1.4499
128,Calanoid j,COPEPOD,Copepod,(null),(null),1100,284.4771
15,Calanoid j,COPEPOD,Copepod,(null),(null),1100,84.1644
200,Calanoid j,COPEPOD,Copepod,(null),(null),1100,315.0538
63,Calanoid j,COPEPOD,Copepod,(null),(null),1100,335.9502
60,Calanoid j,COPEPOD,Copepod,(null),(null),1100,473.8666
57,Calanoid j,COPEPOD,Copepod,(null),(null),1100,809.4239
